# Precatalytic structure computation from MD trajectory
# Sergi Ortiz @ UAB
# hLOX15 protein
# Reaction coordinate r = r_C13-H13 - r_H13-O
# \Delta E (kcal/mol) refers to the precatalytic structure formation probability contirbution to \Delta E^\ddag,
# this contibution depends heavily on how a \'precatalytic\' structure is defined (distance and dihedral filters)!
# Energy contribution in kcal/mol

# Three definitions of precatalytic structures:
# A1. Criterium 1: Distance  H13 < 4.0 A
# A2. Criterium 2: Planarity C13 = 180 +- 120.0 deg
# B. N_spaced equispaced frames, with the criterion r > -2.5.
# C1. N_spaced equispaced frames. Criterium 1: RC r > -2.5
# C2. N_spaced equispaced frames. Criterium 2: Planarity C13 = 180 +- 120.0 deg


MD run info
Ligand    Docking   Radius    Type      Receptor       A1 (%)    A2 (%)    A_N     A_n     Precat (%)  A \Delta E  B_N     B_n     B \Delta E  C_N     C_n     C \Delta E
5-HETE    13        12        mod       norelaxed      11.87     98.22     25000   2963    11.85       1.3         2500    240     1.4         2500    240     1.4
5-HpETE   41        10        mod       norelaxed      4.91      106.93    25000   1227    4.91        1.8         2700    90      2.0         2700    90      2.0
5-HpETE   369       12        nomod     norelaxed      66.68     98.60     25000   16622   66.49       0.2         2500    1429    0.3         2500    1426    0.3
5-HETE    132       10        mod       norelaxed      91.01     99.97     25000   22748   90.99       0.1         2500    2050    0.1         2500    2049    0.1
5-HETE    185       12        mod       norelaxed      2.35      97.07     25000   585     2.34        2.2         2500    30      2.6         2500    30      2.6
5-HETE    343       12        mod       norelaxed      4.59      98.34     50000   2253    4.51        1.8         2500    96      1.9         2500    96      1.9
5-HpETE   41        10        mod       norelaxed      75.57     99.09     25000   18882   75.53       0.2         2500    1543    0.3         2500    1543    0.3
5-HpETE   369       12        nomod     norelaxed      32.12     99.70     25000   8024    32.10       0.7         2500    421     1.1         2500    421     1.1
5-HpETE   391       12        mod       norelaxed      0.43      100.00    25000   108     0.43        3.2         2500    4       3.8         2500    4       3.8
AA        12        10        nomod     norelaxed      6.36      96.41     25000   1590    6.36        1.6         2500    100     1.9         2500    100     1.9
AA        54        12        mod       norelaxed      2.97      89.62     50000   1484    2.97        2.1         2500    53      2.3         2500    53      2.3
AA        63        10        mod       norelaxed      28.80     98.90     25000   7198    28.79       0.7         2500    607     0.8         2500    607     0.8
AA        204       12        mod       norelaxed      25.41     99.46     25000   6322    25.29       0.8         2500    578     0.9         2500    574     0.9
AA        405       12        nomod     norelaxed      6.66      97.62     25000   1663    6.65        1.6         2500    116     1.8         2500    116     1.8
5-HpETE   19        10        mod       norelaxed      74.64     99.40     25000   18596   74.38       0.2         2500    1604    0.3         2500    1598    0.3
5-HETE    167       12        nomod     norelaxed      0.33      99.67     25000   82      0.33        3.4         2500    5       3.7         2500    5       3.7
5-HETE    284       12        nomod     norelaxed      4.90      99.90     25000   1226    4.90        1.8         2500    48      2.4         2500    48      2.4
